"verbo","papel"
"arrumar","Agent"
"articular","Agent"
"artificializar","Agent"
"artificiar","Agent"
"arvorar","Agent"
"ascender","Agent"
"asfixiar","Agent"
"asilar","Agent"
"asperger","Agent"
"aspergir","Agent"
"aspirar","Agent"
"assalariar","Agent"
"assaltar","Agent"
"assanhar","Agent"
"assar","Agent"
"assassinar","Agent"
"assear","Agent"
"assediar","Agent"
"assegurar","Agent"
"assemelhar","Agent"
"assentar","Agent"
"assentir","Agent"
"assessorar","Agent"
"asseverar","Agent"
"assimilar","Agent"
"assimilhar","Agent"
"assinar","Agent"
"assistir","Agent"
"assoar","Agent"
"assobiar","Agent"
"associar","Agent"
"assolar","Agent"
"assoprar","Agent"
"assoviar","Agent"
"assumir","Agent"
"atacar","Agent"
"atalhar","Agent"
"atar","Agent"
"atarraxar","Agent"
"atassalhar","Agent"
"ataviar","Agent"
"atear","Agent"
"atender","Agent"
"atentar3","Agent"
"atenuar","Agent"
"atestar1","Agent"
"atestar2","Agent"
"atiçar","Agent"
"atinar","Agent"
"atingir","Agent"
"atirar","Agent"
"atochar","Agent"
"atopetar","Agent"
"atraiçoar","Agent"
"atrair","Agent"
"atrelar","Agent"
"atritar","Agent"
"atroar","Agent"
"atroçoar","Agent"
"atrofiar","Agent"
"atufar","Agent"
"atulhar","Agent"
"auferir","Agent"
"augurar","Agent"
"aumentar","Agent"
"aureolar","Agent"
"autografar","Agent"
"autorizar","Agent"
"auxiliar","Agent"
"avaliar","Agent"
"avançar","Agent"
"avantajar","Agent"
"avariar","Agent"
"avelhentar","Agent"
"aventar","Agent"
"aventurar","Agent"
"avergar","Agent"
"avergonhar","Agent"
"averiguar","Agent"
"avermelhar","Agent"
"avexar","Agent"
"aviar","Agent"
"avigorar","Agent"
"aviltar","Agent"
"avinagrar","Agent"
"avincar","Agent"
"avisar","Agent"
"aviventar","Agent"
"avoaçar","Agent"
"avoar","Agent"
"avocar","Agent"
"avolumar","Agent"
"avultar","Agent"
"azedar","Agent"
"azeitar","Agent"
"azurrar","Agent"
"badalar","Agent"
"badalejar","Agent"
"bafejar","Agent"
"baixar","Agent"
"bajular","Agent"
"balançar","Agent"
"balancear","Agent"
"balar","Agent"
"baldear","Agent"
"balir","Agent"
"balouçar","Agent"
"bambear","Agent"
"bandear","Agent"
"banhar","Agent"
"banir","Agent"
"baquear","Agent"
"barafustar","Agent"
"barbear","Agent"
"barquejar","Agent"
"barrar1","Agent"
"barrufar","Agent"
"barulhar","Agent"
"basculhar","Agent"
"basear","Agent"
"bater","Agent"
"batizar","Agent"
"batucar","Agent"
"bazofiar","Agent"
"beber","Agent"
"beijar","Agent"
"beliscar","Agent"
"bem-fadar","Agent"
"bençoar","Agent"
"bendizer","Agent"
"beneficiar","Agent"
"benzer","Agent"
"berrar","Agent"
"bestar","Agent"
"besuntar","Agent"
"betar","Agent"
"betumar","Agent"
"bicar","Agent"
"bigodear","Agent"
"birrar","Agent"
"bisar","Agent"
"blasonar","Agent"
"blindar","Agent"
"bloquear","Agent"
"bocar","Agent"
"bocejar","Agent"
"boiar","Agent"
"bolar","Agent"
"bolçar","Agent"
"bonificar","Agent"
"boquejar","Agent"
"borboletear","Agent"
"borbulhar","Agent"
"bordar","Agent"
"borrar","Agent"
"borrifar","Agent"
"botar1","Agent"
"bramar","Agent"
"bramir","Agent"
"brandear","Agent"
"brandir","Agent"
"branquear","Agent"
"branquejar","Agent"
"brasonar","Agent"
"bravatear","Agent"
"brear","Agent"
"brilhar","Agent"
"brincar","Agent"
"britar","Agent"
"bromar","Agent"
"bronquear","Agent"
"brotar","Agent"
"brunir","Agent"
"bubuiar","Agent"
"bulir","Agent"
"burilar","Agent"
"burlar","Agent"
"buscar","Agent"
"caber","Agent"
"caçar","Agent"
"cacarejar","Agent"
"cachear","Agent"
"cachetar","Agent"
"cachimbar","Agent"
"cachinar","Agent"
"caçoar","Agent"
"cadenciar","Agent"
"caducar","Agent"
"caiar","Agent"
"cair","Agent"
"calar2","Agent"
"calçar","Agent"
"calcetar","Agent"
"calcular","Agent"
"caldear","Agent"
"calhar","Agent"
"calmar","Agent"
"caluniar","Agent"
"cambetear","Agent"
"cambiar","Agent"
"caminhar","Agent"
"campar","Agent"
"campear","Agent"
"cancelar","Agent"
"canelar","Agent"
"canonizar","Agent"
"cansar","Agent"
"cantar","Agent"
"cantarejar","Agent"
"cantarolar","Agent"
"capacitar","Agent"
"capear","Agent"
"capengar","Agent"
"capinar","Agent"
"capitular","Agent"
"capotar","Agent"
"captar","Agent"
"capturar","Agent"
"caramelar","Agent"
"caramelizar","Agent"
"caramunhar","Agent"
"carbonizar","Agent"
"cariciar","Agent"
"carimbar","Agent"
